"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"65",770,2004,NA,NA,NA,"Lok","July",17,"open",4,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyopen4"
"66",771,1918,NA,NA,NA,"Lok","Aug",6,"open",5,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokAugopen5"
"67",772,1929,NA,NA,NA,"Lok","Aug",6,"open",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokAugopen6"
"68",773,2027,NA,NA,NA,"Lok","July",17,"open",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyopen6"
"69",774,2110,NA,NA,NA,"Lok","Sept",26,"open",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokSeptopen6"
"70",775,2123,NA,NA,NA,"Lok","Sept",26,"open",8,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokSeptopen8"
"71",776,2051,NA,NA,NA,"Lok","July",17,"open",10,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyopen10"
"72",777,2148,NA,NA,NA,"Lok","Sept",26,"open",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokSeptopen11"
"73",778,1886,NA,NA,NA,"Lok","Aug",6,"shrub",1,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokAugshrub1"
"74",779,2000,NA,NA,NA,"Lok","July",17,"shrub",3,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyshrub3"
