"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"357",0,0,0,0,0,0,0,0,0,0,0,18,0,"MovSeptshrub5"
"358",0,1,0,0,0,2,0,0,0,0,0,1,0,"MovSeptshrub6"
"359",0,0,0,0,0,1,2,1,0,0,0,48,0,"MovSeptshrub9"
"360",0,0,0,0,0,0,0,23,0,0,0,1,0,"PaPlAugopen10"
"361",0,0,0,0,0,0,0,8,0,0,0,1,0,"PaPlAugopen11"
"362",0,0,0,0,0,0,0,0,0,0,0,23,0,"PaPlAugopen12"
"363",0,0,0,0,0,0,0,2,0,0,0,0,0,"PaPlAugopen2"
"364",0,0,0,0,0,0,0,0,0,0,0,5,0,"PaPlAugopen3"
"365",0,0,0,0,0,0,0,1,0,0,0,0,0,"PaPlAugopen6"
"366",0,0,0,0,0,0,0,12,0,0,0,0,0,"PaPlAugopen7"
"367",0,0,0,0,0,0,0,0,0,0,0,9,0,"PaPlAugopen9"
"368",0,0,0,0,0,0,0,30,0,0,0,3,1,"PaPlAugshrub10"
"369",0,0,0,0,0,0,0,6,0,0,0,0,0,"PaPlAugshrub11"
"370",0,0,0,0,0,0,0,0,0,0,0,77,0,"PaPlAugshrub12"
"371",0,0,0,0,0,0,0,21,0,0,0,3,2,"PaPlAugshrub2"
"372",4,0,0,0,0,0,0,0,0,0,0,12,0,"PaPlAugshrub3"
"373",0,0,0,0,0,0,0,11,0,0,0,0,0,"PaPlAugshrub5"
"374",0,0,0,0,0,0,0,78,0,0,0,0,1,"PaPlAugshrub6"
"375",0,0,0,0,0,0,0,59,0,0,0,0,0,"PaPlAugshrub7"
"376",0,0,0,0,0,0,0,0,0,0,0,12,0,"PaPlAugshrub9"
"377",0,0,0,0,0,0,0,0,0,0,0,1,0,"PaPlJulyopen1"
"378",0,0,0,0,0,0,0,2,0,0,0,1,0,"PaPlJulyopen10"
"379",0,0,0,0,0,0,0,4,0,0,0,0,0,"PaPlJulyopen11"
"380",0,0,0,0,0,0,0,1,0,0,0,0,0,"PaPlJulyopen12"
"381",0,0,0,0,54,0,5,0,0,0,0,0,0,"PaPlJulyopen2"
"382",0,0,0,0,0,0,0,3,0,0,0,2,0,"PaPlJulyopen3"
"383",0,0,0,0,1887,0,4,7,0,0,0,0,0,"PaPlJulyopen4"
"384",0,0,0,0,0,0,0,13,0,0,0,0,0,"PaPlJulyopen5"
"385",0,0,0,0,0,0,0,11,0,0,0,0,0,"PaPlJulyopen8"
"386",0,0,0,0,0,0,0,4,0,0,0,1,0,"PaPlJulyopen9"
"387",0,0,0,0,0,0,0,22,0,0,0,0,0,"PaPlJulyshrub1"
"388",0,0,0,0,0,0,0,15,0,0,0,1,0,"PaPlJulyshrub10"
"389",0,0,0,0,0,0,0,61,0,0,0,0,0,"PaPlJulyshrub11"
"390",0,0,0,0,0,0,0,11,0,0,0,15,0,"PaPlJulyshrub12"
"391",0,0,0,0,2,0,1,0,0,0,0,21,1,"PaPlJulyshrub2"
"392",0,0,0,0,1,0,0,42,0,0,0,33,0,"PaPlJulyshrub3"
"393",0,0,0,0,1,0,0,33,0,0,0,7,0,"PaPlJulyshrub4"
"394",0,0,0,0,0,0,0,18,0,0,0,0,0,"PaPlJulyshrub5"
"395",0,0,0,0,0,0,0,30,0,0,0,0,1,"PaPlJulyshrub7"
"396",0,0,0,0,0,0,0,91,0,0,0,19,0,"PaPlJulyshrub8"
"397",0,0,0,0,0,0,0,28,0,0,0,0,0,"PaPlJulyshrub9"
"398",0,0,0,0,0,0,0,1,0,0,0,0,0,"PaPlSeptopen1"
"399",0,0,0,0,0,0,0,0,0,0,0,15,0,"PaPlSeptopen10"
"400",0,0,0,0,0,0,0,1,0,0,0,0,0,"PaPlSeptopen11"
"401",0,0,0,0,0,0,0,0,0,0,0,2,0,"PaPlSeptopen12"
"402",0,0,0,0,0,0,0,2,0,0,0,6,0,"PaPlSeptopen2"
"403",0,0,0,0,0,0,0,1,0,0,0,0,0,"PaPlSeptopen3"
"404",0,0,0,0,0,0,0,2,0,0,0,0,0,"PaPlSeptopen5"
"405",0,0,0,0,0,0,0,0,0,0,0,15,0,"PaPlSeptopen6"
"406",0,0,0,0,0,0,0,2,0,0,0,14,0,"PaPlSeptopen7"
"407",0,0,0,0,0,0,0,37,0,0,0,0,0,"PaPlSeptopen8"
"408",0,0,0,0,0,0,0,6,0,0,0,0,0,"PaPlSeptshrub1"
"409",0,0,0,0,0,0,0,0,0,1,0,0,0,"PaPlSeptshrub12"
"410",0,0,0,0,0,0,0,4,0,0,0,0,0,"PaPlSeptshrub2"
